Stage,Problem,AC_Count,Tag
statements-4-0,A,199,math
statements-4-0,B,197,tree
statements-4-0,C,19,interative
statements-4-0,D,185,thinking
statements-4-0,E,121,range
statements-4-0,F,162,thinking
statements-4-0,G,29,graph
statements-4-0,H,212,tree
statements-4-0,I,43,geometry
statements-4-0,J,68,dp 
statements-4-0,K,246,thinking
statements-4-0,L,164,math
statements-4-0,M,68,round
statements-4-1,A,0,
statements-4-1,B,0,
statements-4-1,C,0,
statements-4-1,D,0,
statements-4-1,E,0,
statements-4-1,F,0,
statements-4-1,G,0,
statements-4-1,H,0,
statements-4-1,I,0,
statements-4-1,J,0,
statements-4-1,K,0,
statements-4-2,A,0,
statements-4-2,B,0,
statements-4-2,C,0,
statements-4-2,D,0,
statements-4-2,E,0,
statements-4-2,F,0,
statements-4-2,G,0,
statements-4-2,H,0,
statements-4-2,I,0,
statements-4-2,J,0,
statements-4-2,K,0,
statements-4-2,L,0,
statements-4-2,M,0,
statements-4-3,A,0,
statements-4-3,B,0,
statements-4-3,C,0,
statements-4-3,D,0,
statements-4-3,E,0,
statements-4-3,F,0,
statements-4-3,G,0,
statements-4-3,H,0,
statements-4-3,I,0,
statements-4-3,J,0,
statements-4-3,K,0,
statements-4-4,E,0,
statements-4-4,H,0,
statements-4-4,I,0,
statements-4-4,J,0,
statements-4-5,A,0,
statements-4-5,B,0,
statements-4-5,C,0,
statements-4-5,D,0,
statements-4-5,E,0,
statements-4-5,F,0,
statements-4-5,G,0,
statements-4-5,H,0,
statements-4-5,I,0,
statements-4-5,J,0,
statements-4-5,K,0,
statements-4-5,L,0,
statements-4-5,M,0,
statements-4-6,A,0,
statements-4-6,B,0,
statements-4-6,C,0,
statements-4-6,D,0,
statements-4-6,E,0,
statements-4-6,F,0,
statements-4-6,G,0,
statements-4-6,H,0,
statements-4-6,I,0,
statements-4-6,J,0,
statements-4-6,K,0,
statements-4-6,L,0,
statements-4-6,M,0,
statements-4-7,A,0,
statements-4-7,B,0,
statements-4-7,C,0,
statements-4-7,D,0,
statements-4-7,E,0,
statements-4-7,F,0,
statements-4-7,G,0,
statements-4-7,H,0,
statements-4-7,I,0,
statements-4-7,J,0,
statements-4-7,K,0,
statements-4-7,L,0,
statements-4-7,M,0,
statements-4-8,A,0,
statements-4-8,B,0,
statements-4-8,C,0,
statements-4-8,D,0,
statements-4-8,E,0,
statements-4-8,F,0,
statements-4-8,G,0,
statements-4-8,H,0,
statements-4-8,I,0,
statements-4-8,J,0,
statements-4-8,K,0,
statements-4-8,L,0,
statements-4-8,M,0,
statements-4-9,A,0,
statements-4-9,B,0,
statements-4-9,C,0,
statements-4-9,D,0,
statements-4-9,E,0,
statements-4-9,F,0,
statements-4-9,G,0,
statements-4-9,H,0,
statements-4-9,I,0,
statements-4-9,J,0,
statements-4-9,K,0,
statements-4-9,L,0,
statements-4-9,M,0,
statements-4-10,A,0,
statements-4-10,B,0,
statements-4-10,C,0,
statements-4-10,D,0,
statements-4-10,E,0,
statements-4-10,F,0,
statements-4-10,G,0,
statements-4-10,H,0,
statements-4-10,I,0,
statements-4-10,J,0,
statements-4-10,K,0,
statements-4-10,L,0,
statements-4-12,A,0,
statements-4-12,B,0,
statements-4-12,C,0,
statements-4-12,D,0,
statements-4-12,E,0,
statements-4-12,F,0,
statements-4-12,G,0,
statements-4-12,H,0,
statements-4-12,I,0,
statements-4-12,J,0,
statements-4-12,K,0,
statements-4-12,L,0,
statements-4-12,M,0,
statements-4-13,A,0,
statements-4-13,B,0,
statements-4-13,C,0,
statements-4-13,D,0,
statements-4-13,E,0,
statements-4-13,F,0,
statements-4-13,G,0,
statements-4-13,H,0,
statements-4-13,I,0,
statements-4-13,J,0,
statements-4-13,K,0,
statements-4-13,L,0,
statements-4-13,M,0,
statements-4-14,A,0,
statements-4-14,B,0,
statements-4-14,C,0,
statements-4-14,D,0,
statements-4-14,E,0,
statements-4-14,F,0,
statements-4-14,G,0,
statements-4-14,H,0,
statements-4-14,I,0,
statements-4-14,J,0,
statements-4-14,K,0,
statements-4-14,L,0,
statements-4-15,A,0,
statements-4-15,B,0,
statements-4-15,C,0,
statements-4-15,D,0,
statements-4-15,E,0,
statements-4-15,F,0,
statements-4-15,G,0,
statements-4-15,H,0,
statements-4-15,I,0,
statements-4-15,J,0,
statements-4-15,K,0,
statements-4-15,L,0,
statements-4-17,A,0,
statements-4-17,B,0,
statements-4-17,C,0,
statements-4-17,D,0,
statements-4-17,E,0,
statements-4-17,F,0,
statements-4-17,G,0,
statements-4-17,H,0,
statements-4-17,I,0,
statements-4-17,J,0,
statements-4-17,K,0,
statements-4-17,L,0,
statements-4-17,M,0,
statements-4-18,A,0,
statements-4-18,B,0,
statements-4-18,C,0,
statements-4-18,D,0,
statements-4-18,E,0,
statements-4-18,F,0,
statements-4-18,G,0,
statements-4-18,H,0,
statements-4-18,I,0,
statements-4-18,J,0,
statements-4-18,K,0,
statements-4-18,L,0,
statements-4-18,M,0,
statements-4-18,N,0,
statements-4-19,A,0,
statements-4-19,B,0,
statements-4-19,C,0,
statements-4-19,D,0,
statements-4-19,E,0,
statements-4-19,F,0,
statements-4-19,G,0,
statements-4-19,H,0,
statements-4-19,I,0,
statements-4-19,J,0,
statements-4-19,K,0,
statements-4-19,L,0,
statements-4-19,M,0,
statements-4-20,A,0,
statements-4-20,B,0,
statements-4-20,C,0,
statements-4-20,D,0,
statements-4-20,E,0,
statements-4-20,F,0,
statements-4-20,G,0,
statements-4-20,H,0,
statements-4-20,I,0,
statements-4-20,J,0,
statements-4-20,K,0,
statements-4-20,L,0,
statements-4-20,M,0,
statements-4-21,A,0,
statements-4-21,B,0,
statements-4-21,C,0,
statements-4-21,D,0,
statements-4-21,E,0,
statements-4-21,F,0,
statements-4-21,G,0,
statements-4-21,H,0,
statements-4-21,I,0,
statements-4-21,J,0,
statements-4-21,K,0,
statements-4-21,L,0,
statements-4-21,M,0,
statements-4-22,A,0,
statements-4-22,B,0,
statements-4-22,C,0,
statements-4-22,D,0,
statements-4-22,E,0,
statements-4-22,F,0,
statements-4-22,G,0,
statements-4-22,H,0,
statements-4-22,I,0,
statements-4-22,J,0,
statements-4-22,K,0,
statements-4-22,L,0,
statements-4-22,M,0,
statements-4-22,N,0,
statements-4-22,O,0,
statements-4-23,A,0,
statements-4-23,B,0,
statements-4-23,C,0,
statements-4-23,D,0,
statements-4-23,E,0,
statements-4-23,F,0,
statements-4-23,G,0,
statements-4-23,H,0,
statements-4-23,I,0,
statements-4-23,J,0,
statements-4-23,K,0,
statements-4-23,L,0,
statements-4-23,M,0,
statements-4-24,A,0,
statements-4-24,B,0,
statements-4-24,C,0,
statements-4-24,D,0,
statements-4-24,E,0,
statements-4-24,F,0,
statements-4-24,G,0,
statements-4-24,H,0,
statements-4-24,I,0,
statements-4-24,J,0,
statements-4-24,K,0,
statements-4-24,L,0,
statements-4-24,M,0,
statements-4-25,A,0,
statements-4-25,B,0,
statements-4-25,C,0,
statements-4-25,D,0,
statements-4-25,E,0,
statements-4-25,F,0,
statements-4-25,G,0,
statements-4-25,H,0,
statements-4-25,I,0,
statements-4-25,J,0,
statements-4-25,K,0,
statements-4-25,L,0,
statements-4-25,M,0,
statements-4-e6,A,0,
statements-4-e1,A,0,
statements-4-e5,A,0,
statements-4-e2,A,0,
statements-4-e3,A,0,
statements-4-e4,A,0,
statements-4-e6,B,0,
statements-4-e1,B,0,
statements-4-e5,B,0,
statements-4-e2,B,0,
statements-4-e3,B,0,
statements-4-e4,B,0,
statements-4-e6,C,0,
statements-4-e1,C,0,
statements-4-e5,C,0,
statements-4-e2,C,0,
statements-4-e3,C,0,
statements-4-e4,C,0,
statements-4-e6,D,0,
statements-4-e1,D,0,
statements-4-e5,D,0,
statements-4-e2,D,0,
statements-4-e3,D,0,
statements-4-e4,D,0,
statements-4-e6,E,0,
statements-4-e1,E,0,
statements-4-e5,E,0,
statements-4-e2,E,0,
statements-4-e3,E,0,
statements-4-e4,E,0,
statements-4-e6,F,0,
statements-4-e1,F,0,
statements-4-e5,F,0,
statements-4-e2,F,0,
statements-4-e3,F,0,
statements-4-e4,F,0,
statements-4-e6,G,0,
statements-4-e1,G,0,
statements-4-e5,G,0,
statements-4-e2,G,0,
statements-4-e3,G,0,
statements-4-e4,G,0,
statements-4-e6,H,0,
statements-4-e1,H,0,
statements-4-e5,H,0,
statements-4-e2,H,0,
statements-4-e3,H,0,
statements-4-e4,H,0,
statements-4-e6,I,0,
statements-4-e1,I,0,
statements-4-e5,I,0,
statements-4-e2,I,0,
statements-4-e3,I,0,
statements-4-e4,I,0,
statements-4-e6,J,0,
statements-4-e1,J,0,
statements-4-e5,J,0,
statements-4-e2,J,0,
statements-4-e3,J,0,
statements-4-e4,J,0,
statements-4-e6,K,0,
statements-4-e1,K,0,
statements-4-e5,K,0,
statements-4-e2,K,0,
statements-4-e3,K,0,
statements-4-e4,K,0,
statements-4-e6,L,0,
statements-4-e1,L,0,
statements-4-e5,L,0,
statements-4-e2,L,0,
statements-4-e3,L,0,
statements-4-e4,L,0,
statements-4-e6,M,0,
statements-4-e1,M,0,
statements-4-e5,M,0,
statements-4-e2,M,0,
statements-4-e4,M,0,
statements-4-e6,N,0,
