Stage,Problem,AC_Count,Tag
statements-2-1,A,753,
statements-2-1,B,147,
statements-2-1,C,748,
statements-2-1,D,22,
statements-2-1,E,0,
statements-2-1,F,38,
statements-2-1,G,119,
statements-2-1,H,751,
statements-2-1,I,7,
statements-2-1,J,552,
statements-2-1,K,753,
statements-2-2,A,66,
statements-2-2,B,83,
statements-2-2,C,11,
statements-2-2,D,39,
statements-2-2,E,34,
statements-2-2,F,7,
statements-2-2,G,33,
statements-2-2,H,9,
statements-2-2,I,84,
statements-2-2,J,69,
statements-2-2,K,5,
statements-2-2,L,33,
statements-2-2,M,6,
statements-2-3,A,192,
statements-2-3,B,17,
statements-2-3,C,2,
statements-2-3,D,178,
statements-2-3,E,1305,
statements-2-3,F,39,
statements-2-3,G,55,
statements-2-3,H,9,
statements-2-3,I,0,
statements-2-3,J,124,
statements-2-3,K,4,
statements-2-3,L,57,
statements-2-4,A,0,
statements-2-4,B,3,
statements-2-4,C,37,
statements-2-4,D,11,
statements-2-4,E,64,
statements-2-4,F,5,
statements-2-4,G,4,
statements-2-4,H,1,
statements-2-4,I,32,
statements-2-4,J,43,
statements-2-4,K,0,
statements-2-4,L,17,
statements-2-5,A,0,
statements-2-5,B,20,
statements-2-5,C,0,
statements-2-5,D,3,
statements-2-5,E,7,
statements-2-5,F,0,
statements-2-5,G,10,
statements-2-5,H,7,
statements-2-5,I,0,
statements-2-5,J,5,
statements-2-5,K,3,
statements-2-5,L,0,
statements-2-6,A,0,
statements-2-6,B,0,
statements-2-6,C,0,
statements-2-6,D,0,
statements-2-6,E,0,
statements-2-6,F,0,
statements-2-6,G,0,
statements-2-6,H,0,
statements-2-6,I,0,
statements-2-6,J,0,
statements-2-6,K,0,
statements-2-6,L,0,
statements-2-6,M,0,
statements-2-7,A,0,
statements-2-7,B,17,
statements-2-7,C,0,
statements-2-7,D,2,
statements-2-7,E,0,
statements-2-7,F,3,
statements-2-7,G,54,
statements-2-7,H,58,
statements-2-7,I,3,
statements-2-7,J,9,
statements-2-7,K,54,
statements-2-7,L,21,
statements-2-7,M,0,
statements-2-7,N,2,
statements-2-8,A,1,
statements-2-8,B,109,
statements-2-8,C,66,
statements-2-8,D,2,
statements-2-8,E,6,
statements-2-8,F,0,
statements-2-8,G,262,
statements-2-8,H,31,
statements-2-8,I,110,
statements-2-8,J,15,
statements-2-8,K,166,
statements-2-8,L,1,
statements-2-8,M,223,
statements-2-9,A,249,
statements-2-9,B,3,
statements-2-9,C,19,
statements-2-9,D,214,
statements-2-9,E,5,
statements-2-9,F,142,
statements-2-9,G,258,
statements-2-9,H,0,
statements-2-9,I,14,
statements-2-9,J,238,
statements-2-9,K,2,
statements-2-9,L,6,
statements-2-9,M,40,
statements-2-10,A,0,
statements-2-10,B,229,
statements-2-10,C,4,
statements-2-10,D,26,
statements-2-10,E,11,
statements-2-10,F,3,
statements-2-10,G,97,
statements-2-10,H,11,
statements-2-10,I,0,
statements-2-10,J,144,
statements-2-10,K,1,
statements-2-10,L,221,
statements-2-10,M,231,
statements-2-11,A,152,
statements-2-11,B,0,
statements-2-11,C,245,
statements-2-11,D,19,
statements-2-11,E,5,
statements-2-11,F,253,
statements-2-11,G,195,
statements-2-11,H,1,
statements-2-11,I,342,
statements-2-11,J,0,
statements-2-11,K,9,
statements-2-11,L,125,
statements-2-11,M,69,
statements-2-12,A,0,
statements-2-12,B,67,
statements-2-12,C,90,
statements-2-12,D,11,
statements-2-12,E,328,
statements-2-12,F,345,
statements-2-12,G,171,
